,Unnamed: 0,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
111353,114265,2B2F594F58715179766342613567424C58306B4776513D3D,6B727348445775796A74686C5A43745849626B6245513D3D,Творческий проект,4,2013/2014,незачет,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Заочная,Бакалавр,Отчисленный
111363,114277,7973316A6654724B6766503636303855686D4C3377413D3D,39386B5576385A726A3358774A79786A324C343771673D3D,Творческий проект,3,2016/2017,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Отчисленный
111364,114281,655A683245775846326B46596E675A314158597A4A673D3D,397A4155356D41694B746F522B2B6A4751304B2B4A673D3D,Творческий проект,3,2016/2017,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Отчисленный
111365,114283,554A2F6377665866433572543453464B473348392B773D3D,397A4155356D41694B746F522B2B6A4751304B2B4A673D3D,Творческий проект,3,2016/2017,незачет,01.03.02 Прикладная математика и информатика,Очная,Бакалавр,Отчисленный
111657,114594,704D544E726B327052324636662F31336A4565566C773D3D,384C6E48676F736D6658426B454A687A4B71796D56673D3D,Творческий проект,3,2016/2017,незачет,38.03.02 Менеджмент,Очная,Бакалавр,Отчисленный
112012,114962,6E6846346E714A39635163634D5545595A367A6E30513D3D,6E4255646643315248663748447A2F564D58473132773D3D,Творческий проект,3,2016/2017,незачет,14.03.02 Ядерные физика и технологии,Очная,Бакалавр,Отчисленный
112847,115805,6E4A452F794E4F7A342F7236764C447A5659677175513D3D,3735586F71573536356D32614254772F754639794D413D3D,Творческий проект,3,2016/2017,незачет,21.03.01 Нефтегазовое дело,Очная,Бакалавр,Отчисленный
113010,115975,617149746F334C504D58483743465A4F6B44494A4F413D3D,4A71322B6E534C584E575A716F34414D655968792F413D3D,Творческий проект,3,2016/2017,незачет,12.03.02 Оптотехника,Очная,Бакалавр,Отчисленный
113011,115986,69754951744A683874393833573552326467444B78673D3D,4A71322B6E534C584E575A716F34414D655968792F413D3D,Творческий проект,3,2016/2017,незачет,12.03.02 Оптотехника,Очная,Бакалавр,Отчисленный
113351,116347,486B582B3749354F69567132633848453966305966413D3D,50592F6C4F774C4E5635454A4C3874387257305266413D3D,Творческий проект,3,2016/2017,незачет,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
113352,116354,61757A41647547476455474338396A354E4658304F673D3D,50592F6C4F774C4E5635454A4C3874387257305266413D3D,Творческий проект,3,2016/2017,незачет,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
114920,118003,46436C2F7451797245644433434C41794773665272773D3D,69354461474B6F76376F4775696442345266793645513D3D,Творческий проект,3,2016/2017,незачет,09.03.03 Прикладная информатика,Очная,Бакалавр,Отчисленный
115060,118153,4D5039744E36744E7475414E2B6E4F3263725A3177773D3D,544E495044735148627759417549724D3352643653513D3D,Творческий проект,3,2016/2017,незачет,38.03.01 Экономика,Очная,Бакалавр,Отчисленный
115472,118570,787770783250662B33732F37754675715251553862413D3D,5A69503244684C6A31414A456F4B576654335A576C513D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
115473,118572,67736D466F6D4572595A463666316A6837542F6571513D3D,4E354D6168572F48496D626D51684677455A6E6366513D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
