,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
3359,7261785174376134523973316B5754564C6C672F48413D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3360,4B4D51734F59357432416F4156736458763732576E513D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3361,61376F4436524F3233715267494B524956456C6374413D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3362,2B6B504558466A4C2B674669584E575768584C5338773D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3363,5A386D46477745413437726B435075464A63344A4E513D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3364,723978376162514C3141734630704B556A536A3534773D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3365,727A7744747A536E5549374855342B7457784A6247673D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3366,712F687867356F614735554B35576941464E745674773D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3367,3050574D4E6F72786E75416764726D727935726138673D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3368,48524D63487546686B6F67553951756D61492B3251773D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
3369,6E3070306A54454A522F76715A6B47756238567A4D673D3D,4730656B70777A444C54364A387766424458487273413D3D,Творческий проект,2,2015/2016,зачтено,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
